"Row","Paper","Cohort","Title","Aim","Year","DOI","Country","Condition","Male_age","Data_from","Trait_description","Trait","Broad_trait","Dura_min","Dura_max","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","sd_1","sd_2","sd_3","sd_4","sd_5","sd_6","sd_7","sd_8","sd_9","sd_10","sd_11","sd_12","sd_13","sd_14","sd_15","sd_16","sd_17","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17","n_1","n_2","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10","n_11","n_12","n_13","n_14","n_15","n_16","n_17","Nsamples_1","Nsamples_2","Nsamples_3","Nsamples_4","N_unique_males","N_total","N_test","Test_stat","Value","SE_beta","CI_low_OR","CI_high_OR","Calculation","Multiplier","Sampling","Study_type","Comments","count_data_columns","AgeAs","corr","N_effective","Zrtemp","ZrFinal","VZr"
"RH407","H105","H105A","INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.","Abstinence",2015,"10.1016/j.fertnstert.2015.07.914","South Korea","Infertile",35,"In text results","day 3 high quality embryo %","Embryo quality","Fertilisation and post-fertilisation",2,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,NA,"",NA,NA,NA,NA,"Percent",1,"Cross sectional","Retrospective","",2,"Groups02",-0.134087126834408,131,-0.13489950880635,-0.13489950880635,0.0078125
"RH408","H105","H105A","INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.","Abstinence",2015,"10.1016/j.fertnstert.2015.07.914","South Korea","Infertile",35,"In text results","Ongoing pregnancy rate %","Fertilization rate","Fertilisation and post-fertilisation",2,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,NA,"",NA,NA,NA,NA,"Percent",1,"Cross sectional","Retrospective","",2,"Groups02",-0.0683842842452383,131,-0.0684911820023804,-0.0684911820023804,0.0078125
"RH409","H105","H105A","INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.","Abstinence",2015,"10.1016/j.fertnstert.2015.07.914","South Korea","Infertile",35,"In text results","Implantation rate %","Fertilization rate","Fertilisation and post-fertilisation",2,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,NA,"",NA,NA,NA,NA,"Percent",1,"Cross sectional","Retrospective","",2,"Groups02",-0.0827805626542767,131,-0.0829704318849448,-0.0829704318849448,0.0078125
"RH76","H25","H25A","Effect of ejaculatory abstinence period on sperm DNA fragmentation and pregnancy outcome of intrauterine insemination cycles: A prospective randomized study","Abstinence",2021,"https://doi.org/10.1007/s00404-020-05783-0","Turkey","Infertile",32.9,"table 2","Miscarriage rate %- % miscarriages to total pregnancies","Embryo quality","Fertilisation and post-fertilisation",1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,106,NA,"",NA,NA,NA,NA,"Percent",-1,"Cross sectional","Prospective","",2,"Groups02",-0.19981091133226,106,-0.202535594448229,0.202535594448229,0.00970873786407767
"RH1","H1","H1A","Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples","Abstinence",2017,"10.5935/1518-0557.20170052","Brazil","Infertile",37.7,"table 1","Progressive","Motility","Sperm performance",0,5,1,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,56.1,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,16.9,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03709872745646,0.38448831313833,0.958741048022416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,1932,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2458,2458,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Prospective","",3,"Groups03",-0.0619600330013452,2458,-0.0620395052729679,-0.0620395052729679,0.000407331975560081
"RH105","H31","H31A","Evaluation of semen quality in 1808 university students, from Wuhan, Central China","Abstinence",2015,"10.4103/1008-682X.135984","China","Healthy",26,"table 3","% progressive","Motility","Sperm performance",2,7,2.75,4.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.16,53.86,53.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.61,11.51,16.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988308832210907,0.405422458340738,0.568485744470929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,806,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808,1808,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","Medians and IQR converted to means and SD using wang et al",3,"Groups03",-0.0126678749439444,1808,-0.0126685526351757,-0.0126685526351757,0.000554016620498615
"RH107","H33","H33A","Exposures that may affect sperm DNA integrity: Two decades of follow-up in a pregnancy cohort","Other",2011,"10.1016/j.reprotox.2011.12.013","Denmark","Healthy",19.5,"table 2","% DNA fragmented","DNA damage","Intra-cellular",1,6,1.5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,9.1,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.3,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483368244522832,0.296728190517212,1.67705098312484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,210,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,337,NA,"",NA,NA,NA,NA,"Simulation",-1,"Cross sectional","Retrospective","",3,"Groups03",0.213839879616812,337,0.21719179042961,-0.21719179042961,0.0029940119760479
"RH112","H36","H36A","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"Table 1","% total motility","Motility","Sperm performance",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,59.4,56.7,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,17.1,17.6,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394521652770769,0.209331963929147,0.554347893746867,0.823130759835648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,6673,1008,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9840,9840,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.079570830415133,9840,-0.0797394059733458,-0.0797394059733458,0.000101657009250788
"RH112.1","H36","H36A","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"Table 1","% progressive","Motility","Sperm performance",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,50.2,47.9,46.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,18.8,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438088461052204,0.230142743968887,0.598443748931276,0.846648781545237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,6673,1008,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9840,9840,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0561328048398577,9840,-0.0561918726810645,-0.0561918726810645,0.000101657009250788
"RH113","H36","H36A","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"Table 1","% vitality","Viability","Viability",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,55.1,52.1,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,14.8,14.9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34611408801362,0.181176202698911,0.46930588731979,0.705540651287698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,6673,1008,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9840,9840,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.103967145113684,9840,-0.104344192915423,-0.104344192915423,0.000101657009250788
"RH114","H36","H36A","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"Table 1","% normal head morphlology sperm","Morphology","Morphology",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,30.2,31.1,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,15.1,15.2,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379999383343624,0.184848693294159,0.478754999145021,0.757280299048796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,6673,1008,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9840,9840,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.00801925985476602,9840,0.00801943176366644,0.00801943176366644,0.000101657009250788
"RH115","H36","H36A","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"Table 1","% normal tail morphlology sperm","Morphology","Morphology",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,70.7,68.8,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11.3,12.3,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266241606164323,0.138330479087682,0.387413584834458,0.592654147081666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,6673,1008,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9840,9840,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0701183654239143,9840,-0.0702336199157423,-0.0702336199157423,0.000101657009250788
"RH116","H36","H36B","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"table 2","% total motility","Motility","Sperm performance",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,36.5,30.8,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,21,21,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07973338182358,0.574749579079172,1.69774937525433,2.00485044014668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,1335,153,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939,1939,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.108207308879421,1939,-0.108632627585699,-0.108632627585699,0.000516528925619835
"RH116.1","H36","H36B","Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men","Abstinence",2017,"https://doi.org/10.1016/j.urology.2017.06.045","USA","Infertile",33.5,"table 2","% progressive","Motility","Sperm performance",2,7,2,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,24.8,21.4,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,19.6,18.9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00635344325304,0.536432940473894,1.5279744377289,1.82259130922425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,1335,153,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939,1939,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0846672430424065,1939,-0.084870431262851,-0.084870431262851,0.000516528925619835
