Row,Paper,Cohort,Title,Aim,Year,DOI,Country,Condition,Male_age,Data_from,Trait_description,Trait,Broad_trait,Dura_min,Dura_max,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,sd_11,sd_12,sd_13,sd_14,sd_15,sd_16,sd_17,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,Nsamples_1,Nsamples_2,Nsamples_3,Nsamples_4,N_unique_males,N_total,N_test,Test_stat,Value,SE_beta,CI_low_OR,CI_high_OR,Calculation,Multiplier,Sampling,Study_type,Comments
RH407,H105,H105A,INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.,Abstinence,2015,10.1016/j.fertnstert.2015.07.914,South Korea,Infertile,35,In text results,day 3 high quality embryo %,Embryo quality,Fertilisation and post-fertilisation,2,7,3,6,,,,,,,,,,,,,,,,11.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,,,,,,,,,,,,,,,,,,,,131,131,,,,,,,Percent,1,Cross sectional,Retrospective,
RH408,H105,H105A,INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.,Abstinence,2015,10.1016/j.fertnstert.2015.07.914,South Korea,Infertile,35,In text results,Ongoing pregnancy rate %,Fertilization rate,Fertilisation and post-fertilisation,2,7,3,6,,,,,,,,,,,,,,,,41.8,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,,,,,,,,,,,,,,,,,,,,131,131,,,,,,,Percent,1,Cross sectional,Retrospective,
RH409,H105,H105A,INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.,Abstinence,2015,10.1016/j.fertnstert.2015.07.914,South Korea,Infertile,35,In text results,Implantation rate %,Fertilization rate,Fertilisation and post-fertilisation,2,7,3,6,,,,,,,,,,,,,,,,28.3,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,,,,,,,,,,,,,,,,,,,,131,131,,,,,,,Percent,1,Cross sectional,Retrospective,
RH76,H25,H25A,Effect of ejaculatory abstinence period on sperm DNA fragmentation and pregnancy outcome of intrauterine insemination cycles: A prospective randomized study,Abstinence,2021,https://doi.org/10.1007/s00404-020-05783-0,Turkey,Infertile,32.9,table 2,Miscarriage rate %- % miscarriages to total pregnancies,Embryo quality,Fertilisation and post-fertilisation,1,3,1,3,,,,,,,,,,,,,,,,3.8,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,54,,,,,,,,,,,,,,,,,,,,106,106,,,,,,,Percent,-1,Cross sectional,Prospective,
RH1,H1,H1A,"Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples",Abstinence,2017,10.5935/1518-0557.20170052,Brazil,Infertile,37.7,table 1,Progressive,Motility,Sperm performance,0,5,1,3.5,5,,,,,,,,,,,,,,,58.3,56.1,53.8,,,,,,,,,,,,,,,16.2,16.9,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,1932,282,,,,,,,,,,,,,,,,,,,2458,2458,,,,,,,Simulation,1,Cross sectional,Prospective,
RH105,H31,H31A,"Evaluation of semen quality in 1808 university students, from Wuhan, Central China",Abstinence,2015,10.4103/1008-682X.135984,China,Healthy,26,table 3,% progressive,Motility,Sperm performance,2,7,2.75,4.5,6.25,,,,,,,,,,,,,,,55.16,53.86,53.96,,,,,,,,,,,,,,,11.61,11.51,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,806,864,,,,,,,,,,,,,,,,,,,1808,1808,,,,,,,Simulation,1,Cross sectional,Retrospective,Medians and IQR converted to means and SD using wang et al
RH107,H33,H33A,Exposures that may affect sperm DNA integrity: Two decades of follow-up in a pregnancy cohort,Other,2011,10.1016/j.reprotox.2011.12.013,Denmark,Healthy,19.5,table 2,% DNA fragmented,DNA damage,Intra-cellular,1,6,1.5,4,6,,,,,,,,,,,,,,,8.6,9.1,15.5,,,,,,,,,,,,,,,5,4.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,210,20,,,,,,,,,,,,,,,,,,,337,337,,,,,,,Simulation,-1,Cross sectional,Retrospective,
RH112,H36,H36A,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,Table 1,% total motility,Motility,Sperm performance,2,7,2,3.5,6,7,,,,,,,,,,,,,,60.7,59.4,56.7,54.8,,,,,,,,,,,,,,16.3,17.1,17.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,6673,1008,452,,,,,,,,,,,,,,,,,,9840,9840,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH112.1,H36,H36A,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,Table 1,% progressive,Motility,Sperm performance,2,7,2,3.5,6,7,,,,,,,,,,,,,,50.9,50.2,47.9,46.3,,,,,,,,,,,,,,18.1,18.8,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,6673,1008,452,,,,,,,,,,,,,,,,,,9840,9840,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH113,H36,H36A,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,Table 1,% vitality,Viability,Viability,2,7,2,3.5,6,7,,,,,,,,,,,,,,56.7,55.1,52.1,50.1,,,,,,,,,,,,,,14.3,14.8,14.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,6673,1008,452,,,,,,,,,,,,,,,,,,9840,9840,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH114,H36,H36A,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,Table 1,% normal head morphlology sperm,Morphology,Morphology,2,7,2,3.5,6,7,,,,,,,,,,,,,,31.1,30.2,31.1,31.9,,,,,,,,,,,,,,15.7,15.1,15.2,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,6673,1008,452,,,,,,,,,,,,,,,,,,9840,9840,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH115,H36,H36A,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,Table 1,% normal tail morphlology sperm,Morphology,Morphology,2,7,2,3.5,6,7,,,,,,,,,,,,,,71.2,70.7,68.8,67.8,,,,,,,,,,,,,,11,11.3,12.3,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,6673,1008,452,,,,,,,,,,,,,,,,,,9840,9840,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH116,H36,H36B,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,table 2,% total motility,Motility,Sperm performance,2,7,2,3.5,6,7,,,,,,,,,,,,,,37.7,36.5,30.8,27.1,,,,,,,,,,,,,,20.6,21,21,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1335,153,87,,,,,,,,,,,,,,,,,,1939,1939,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH116.1,H36,H36B,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,table 2,% progressive,Motility,Sperm performance,2,7,2,3.5,6,7,,,,,,,,,,,,,,25.5,24.8,21.4,17.2,,,,,,,,,,,,,,19.2,19.6,18.9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1335,153,87,,,,,,,,,,,,,,,,,,1939,1939,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH117,H36,H36B,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,table 2,% vitality,Viability,Viability,2,7,2,3.5,6,7,,,,,,,,,,,,,,38.8,38,32.9,35.6,,,,,,,,,,,,,,16.3,17.2,17.1,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1335,153,87,,,,,,,,,,,,,,,,,,1939,1939,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH118,H36,H36B,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,table 2,% normal head morphlology sperm,Morphology,Morphology,2,7,2,3.5,6,7,,,,,,,,,,,,,,19.3,19.9,16.9,18.3,,,,,,,,,,,,,,13.4,13.7,12.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1335,153,87,,,,,,,,,,,,,,,,,,1939,1939,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH119,H36,H36B,Impacts of Abstinence Time on Semen Parameters in a Large Population-based Cohort of Subfertile Men,Abstinence,2017,https://doi.org/10.1016/j.urology.2017.06.045,USA,Infertile,33.5,table 2,% normal tail morphlology sperm,Morphology,Morphology,2,7,2,3.5,6,7,,,,,,,,,,,,,,62.2,61.1,59.9,56.8,,,,,,,,,,,,,,16.6,15.8,16.8,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,1335,153,87,,,,,,,,,,,,,,,,,,1939,1939,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH120,H37,H37A,Impact of ejaculatory abstinence period and semen characteristic on the reproductive outcomes after intracytoplasmic sperm injection,Abstinence,2022,10.5935/1518-0557.20210124,Iran,Infertile,37,table 2,% total motility,Motility,Sperm performance,1,10,1,2,3,4,5,8,,,,,,,,,,,,51,51,54,51,48,54,,,,,,,,,,,,18,20,19,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,170,392,253,102,49,,,,,,,,,,,,,,,,1003,1003,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH121,H37,H37A,Impact of ejaculatory abstinence period and semen characteristic on the reproductive outcomes after intracytoplasmic sperm injection,Abstinence,2022,10.5935/1518-0557.20210124,Iran,Infertile,37,table 2,% progressive,Motility,Sperm performance,1,10,1,2,3,4,5,8,,,,,,,,,,,,41,41,43,42,40,44,,,,,,,,,,,,21,19,19,19,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,170,392,253,102,49,,,,,,,,,,,,,,,,1003,1003,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH122,H37,H37A,Impact of ejaculatory abstinence period and semen characteristic on the reproductive outcomes after intracytoplasmic sperm injection,Abstinence,2022,10.5935/1518-0557.20210124,Iran,Infertile,37,table 2,% normal,Morphology,Morphology,1,10,1,2,3,4,5,8,,,,,,,,,,,,1.8,2.1,2.3,2.2,2.6,2.2,,,,,,,,,,,,2.3,2,2,1.9,2.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,170,392,253,102,49,,,,,,,,,,,,,,,,1003,1003,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH123,H37,H37A,Impact of ejaculatory abstinence period and semen characteristic on the reproductive outcomes after intracytoplasmic sperm injection,Abstinence,2022,10.5935/1518-0557.20210124,Iran,Infertile,37,table 2,% embryos fertilised after controlling for sperm number,Fertilization rate,Fertilisation and post-fertilisation,1,10,1,2,3,4,5,8,,,,,,,,,,,,66,72,73,68,67,69,,,,,,,,,,,,32,30,27,32,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,170,392,253,102,49,,,,,,,,,,,,,,,,1003,1003,,,,,,,Simulation,1,Cross sectional,Retrospective,"procedure is ICSI, so only one sperm is used and sperm number is controlled for"
RH127,H39,H39A,High percentage of abnormal semen parameters in a prevasectomy population,Other,2006,https://doi.org/10.1016/j.fertnstert.2005.09.032,Brazil,Healthy,34.21,table 3,% progressive,Motility,Sperm performance,2,7,2,3,4,5,6,,,,,,,,,,,,,55.2,61.4,61.6,58.7,56.3,,,,,,,,,,,,,16.5,15.3,13.5,15.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,317,168,175,79,,,,,,,,,,,,,,,,,889,889,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH128,H39,H39A,High percentage of abnormal semen parameters in a prevasectomy population,Other,2006,https://doi.org/10.1016/j.fertnstert.2005.09.032,Brazil,Healthy,34.21,table 3,% normal morphlology sperm,Morphology,Morphology,2,7,2,3,4,5,6,,,,,,,,,,,,,16.4,17.7,18.4,18,17,,,,,,,,,,,,,12.2,9.3,9.2,8.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,317,168,175,79,,,,,,,,,,,,,,,,,889,889,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH129,H39,H39A,High percentage of abnormal semen parameters in a prevasectomy population,Other,2006,https://doi.org/10.1016/j.fertnstert.2005.09.032,Brazil,Healthy,34.21,table 4,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,,,,,,,,,,,,,71.09,73.21,73.85,70.2,60.51,,,,,,,,,,,,,17.4,15.9,16.1,17.5,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,317,168,175,79,,,,,,,,,,,,,,,,,889,889,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH130,H39,H39A,High percentage of abnormal semen parameters in a prevasectomy population,Other,2006,https://doi.org/10.1016/j.fertnstert.2005.09.032,Brazil,Healthy,34.21,table 4,VSL,Velocity,Sperm performance,2,7,2,3,4,5,6,,,,,,,,,,,,,39.4,40.6,41.3,39.7,39.3,,,,,,,,,,,,,7.1,6.4,5.9,6.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,317,168,175,79,,,,,,,,,,,,,,,,,889,889,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH137,H41,H41A,Impact of the sexual abstinence period on the production of seminal reactive oxygen species in patients undergoing intrauterine insemination: A randomized trial,Abstinence,2020,https://doi.org/10.1111/jog.14308,Turkey,Infertile,31.8,table 2,Total motility,Motility,Sperm performance,0,4,1,3,4,,,,,,,,,,,,,,,60.8,69,60.9,,,,,,,,,,,,,,,14.4,12.4,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,90,90,,,,,,,Simulation,1,Cross sectional,Prospective,IUI pregnancy results not included because IUI does not control for sperm number
RH138,H41,H41A,Impact of the sexual abstinence period on the production of seminal reactive oxygen species in patients undergoing intrauterine insemination: A randomized trial,Abstinence,2020,https://doi.org/10.1111/jog.14308,Turkey,Infertile,31.8,table 2,% normal morphlology sperm,Morphology,Morphology,0,4,1,3,4,,,,,,,,,,,,,,,2.9,2.5,2,,,,,,,,,,,,,,,2.1,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,90,90,,,,,,,Simulation,1,Cross sectional,Prospective,IUI pregnancy results not included because IUI does not control for sperm number
RH169,H49,H49A,Influence of abstinence and ejaculation-to-analysis delay on semen analysis parameters of suspected infertile men,Abstinence,1982,https://doi.org/10.3109/01485018208990205,UK,Infertile,,table 1,% total motility,Motility,Sperm performance,1,7,1,2,3,4,5,6,7,7,,,,,,,,,,48.6,51,52.3,50.6,51,50,48.4,47.7,,,,,,,,,,16.7,17.8,14.1,15.8,14.1,13.4,17.2,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,23,72,249,389,329,142,105,131,,,,,,,,,,,,,,1440,1440,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH170,H49,H49A,Influence of abstinence and ejaculation-to-analysis delay on semen analysis parameters of suspected infertile men,Abstinence,1982,https://doi.org/10.3109/01485018208990205,UK,Infertile,,table 1,% viable,Viability,Viability,1,7,1,2,3,4,5,6,7,7,,,,,,,,,,77.8,80.1,78.9,78.8,78.2,75.4,75.3,72.4,,,,,,,,,,9.8,9.1,11.7,10.6,10.6,11.4,15.5,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,118,220,161,77,59,71,,,,,,,,,,,,,,749,749,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH171,H49,H49A,Influence of abstinence and ejaculation-to-analysis delay on semen analysis parameters of suspected infertile men,Abstinence,1982,https://doi.org/10.3109/01485018208990205,UK,Infertile,,table 1,% normal morphlology sperm,Morphology,Morphology,1,7,1,2,3,4,5,6,7,7,,,,,,,,,,55.6,53.6,54.7,54.2,55.2,54.5,53.5,52.6,,,,,,,,,,8.8,15,11.3,11.5,10.4,12,12,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,18,71,234,369,312,137,97,122,,,,,,,,,,,,,,1360,1360,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH198,H55,H55A,Optimum Abstinence Time for Cryopreservation of Semen in Cancer Patients,Abstinence,1995,https://doi.org/10.1016/S0022-5347(01)67235-5,India,Other problems,,table 1,% total motility,Motility,Sperm performance,1,3,1.5,2.5,3,,,,,,,,,,,,,,,41.33,44.33,43.33,,,,,,,,,,,,,,,23.71,19.05,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,53,27,,,,,,,,,,,,,,,,,,,95,95,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH199,H55,H55A,Optimum Abstinence Time for Cryopreservation of Semen in Cancer Patients,Abstinence,1995,https://doi.org/10.1016/S0022-5347(01)67235-5,India,Other problems,,table 1,velocity,Velocity,Sperm performance,1,3,1.5,2.5,3,,,,,,,,,,,,,,,46.73,44,41.33,,,,,,,,,,,,,,,18.4,9.906,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,53,27,,,,,,,,,,,,,,,,,,,95,95,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH2,H1,H1A,"Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples",Abstinence,2017,10.5935/1518-0557.20170052,Brazil,Infertile,37.7,table 1,Total motility,Motility,Sperm performance,0,5,1,3.5,5,,,,,,,,,,,,,,,65.5,63.1,59.7,,,,,,,,,,,,,,,15.6,16.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,1932,282,,,,,,,,,,,,,,,,,,,2458,2458,,,,,,,Simulation,1,Cross sectional,Prospective,
RH200,H56,H56A,Relationship between sexual abstinence duration and the acrosome index in teratozoospermic semen: analysis of 1800 semen samples,Abstinence,2006,https://doi.org/10.1111/j.1439-0272.2006.00715.x,Israel,Infertile,30.3,table 1,% normal morphlology sperm,Morphology,Morphology,0,14,0,1,2,3,4,5,8,12.5,,,,,,,,,,5.7,6.1,5.6,5,4.9,4.2,5.3,6,,,,,,,,,,3.5,3,3.6,3.6,3.4,2.9,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,75,162,125,54,53,24,,,,,,,,,,,,,,237,536,,,,,,,Simulation,1,Cross sectional,Retrospective,
